termino,BuenosAires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,LaPampa,LaRioja,Mendoza,MisionesII,Neuquen,RioNegro,Salta,SanJuan,SanLuisV,SantaCruz,SantaFe,SantiagoDelEstero,TierraDelFuego,Tucuman
numero partida,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
mojones marcas,0,0,2,0,0,0,0,0,2,0,1,0,1,2,1,0,0,0,0,0,4,0,0
metro cuadrado,4,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
mensura registrados,0,0,0,1,0,0,0,1,2,0,0,0,0,4,5,0,0,0,4,0,0,0,0
levantamiento territoriales,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,3,0,2,0,0,0,0
legislatura provincia,0,0,0,0,2,4,0,1,1,0,0,0,0,1,2,0,0,1,0,2,0,0,0
inscripcion registral,0,0,0,0,1,1,0,2,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0
informacion catastral,0,0,0,0,0,4,0,0,2,0,0,0,1,2,2,0,0,0,1,0,0,0,0
general rentas,0,1,0,0,0,0,1,0,0,2,0,0,2,0,1,1,0,0,0,0,2,0,10
folios parcelarios,0,0,0,0,0,0,0,0,5,0,0,0,0,9,4,0,0,0,4,0,0,0,0
folio parcelario,0,0,0,1,0,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,0,0,0
expresion territorial,0,1,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0
establecido ley,0,0,2,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,1,0,2,1,0
ejercicio profesion,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,2,0,1,2,0
determinara valor,0,0,4,0,0,0,4,0,0,2,0,0,0,4,1,0,0,0,1,0,1,0,1
declaracion jurada,7,0,0,0,0,1,1,3,0,1,2,0,1,0,0,1,0,0,0,0,0,0,5
datos economicos,2,1,1,2,0,0,0,0,1,0,1,1,3,1,1,0,0,0,1,0,2,0,0
consejo profesional,2,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,1,0
coeficientes ajuste,6,0,0,0,0,0,4,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0
codigo fiscal,6,0,0,0,2,0,2,0,1,1,0,0,0,2,1,1,0,0,0,0,1,0,0
codigo civil,0,0,1,1,0,1,0,13,1,0,5,0,0,2,1,2,0,0,1,0,0,1,0
cedula catastral,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,3
catastral organismo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0,0,0
catastral direccion,0,0,2,1,0,1,0,0,0,2,0,1,0,1,0,1,1,0,2,0,3,0,0
camara diputados,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,2,2,0,0
basicos tierra,0,0,0,0,0,1,0,0,0,2,1,0,1,0,3,0,0,0,3,0,2,0,1
agrimensores publicos,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0
agrimensor publico,0,0,27,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,0,0,0,6,0
agrimensor ingeniero,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,2,0
actos levantamientos,0,0,9,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,1,0,2,9,0
actos juridicos,0,1,0,0,0,2,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,0
zona rural,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2
verificacion estado,1,1,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0
valuaciones fiscales,1,0,0,2,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0
valuacion tierra,3,0,1,0,0,1,0,0,1,1,0,0,0,1,4,0,1,0,4,0,0,0,0
valuacion resultante,3,0,0,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
valuacion parcelaria,12,1,0,0,0,0,0,0,1,1,3,0,4,0,0,0,0,1,0,0,0,0,0
valuacion general,6,0,0,0,0,0,16,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
valores resultantes,1,0,0,0,0,0,2,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,0
valor venal,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
valor suelo,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0
urbanas subrurales,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
unidades equivalentes,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0
unidad economica,0,0,1,0,0,0,0,18,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0
ubicacion inmueble,1,0,1,0,0,1,0,0,2,0,2,0,1,1,1,0,0,0,0,0,2,0,0
total inmueble,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0
titulos invocados,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0
titulo terreno,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
titulares dominio,1,1,0,0,0,0,0,5,1,0,0,0,0,2,1,2,0,0,1,0,0,0,0
tendra caracter,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
suelo accesiones,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0
sobre valuacion,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,2,1,0,0,0
sistema informacion,0,0,0,0,6,13,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0
rurales subrurales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
registracion provisoria,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0
registracion actos,2,0,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0
referencia reciprocas,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0
publico privado,0,1,1,0,0,2,0,0,0,0,1,0,3,1,1,0,1,1,2,0,0,0,0
provincial municipal,1,0,0,0,0,0,0,1,1,0,2,0,1,1,2,0,1,0,2,1,0,1,0
poseer titulo,0,0,2,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,2,0,0,1,0
poderes publicos,0,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,1,1,2,0,0
planta rural,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0
plano original,2,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
parte integrante,0,0,2,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
parcelas subparcelas,0,0,0,0,0,13,0,0,1,0,0,0,0,1,3,0,0,0,3,0,0,0,0
parcelarios correspondientes,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0
parcelario actos,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,2,1,0,1,0,0
ordenamiento territorial,0,1,0,1,0,1,0,3,1,0,1,0,2,1,1,0,1,0,1,1,2,0,0
obras servicios,1,0,0,2,0,0,0,7,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0
obras accesorias,4,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
numero matricula,0,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
nacional catastro,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0
modificacion transmision,1,2,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
ministerio economia,0,0,0,2,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0
mensuras judiciales,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2
mensura registrado,0,0,0,0,0,0,0,1,1,0,0,0,1,4,7,0,0,0,7,0,0,0,0
mejoras valor,0,0,2,0,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mejoras existentes,0,0,0,0,0,1,0,3,0,0,0,0,1,1,2,0,0,0,2,0,0,0,1
medidas perimetrales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2
matriculacion parcelas,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
marcas mojones,2,0,0,1,0,0,0,0,0,3,1,1,3,0,1,0,1,0,1,0,1,0,0
lineales angulares,2,1,1,1,0,0,0,0,1,0,1,0,2,1,1,1,1,1,1,0,2,0,0
limites parcelarios,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
ley provincial,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
invocados posesion,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,1,0
instrumentos portadores,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0
instituto geografico,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4
instalaciones complementarias,5,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0
inmuebles rurales,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,1,0,0,1,0,3,0,0
